iter	MultiClass
0	1.094802845
1	1.092275969
2	1.089468246
3	1.086458375
4	1.083551012
5	1.083335349
6	1.081832424
7	1.080285989
8	1.078378356
9	1.075476755
10	1.073043658
11	1.071151639
12	1.068944484
13	1.06713446
14	1.064353178
15	1.06320481
16	1.060796106
17	1.059693042
18	1.05759364
19	1.055383455
20	1.053178945
21	1.050703449
22	1.049118848
23	1.048195653
24	1.045327696
25	1.044038188
26	1.041895312
27	1.040435655
28	1.039695541
29	1.037910494
30	1.036306111
31	1.034891715
32	1.033708
33	1.032757986
34	1.029787082
35	1.026694248
36	1.024400332
37	1.021566798
38	1.020168151
39	1.018990013
40	1.017296784
41	1.015770046
42	1.01392036
43	1.012504698
44	1.010478423
45	1.009298444
46	1.007037462
47	1.005416155
48	1.002672521
49	1.000884137
50	0.9995247249
51	0.9984485353
52	0.9970718773
53	0.9957973627
54	0.9938589537
55	0.9921535849
56	0.9897135544
57	0.9880127941
58	0.9864345231
59	0.9845188025
60	0.9831354159
61	0.9809990596
62	0.9793748792
63	0.9777409636
64	0.976234488
65	0.9747486718
66	0.9737101299
67	0.9723965767
68	0.9701266894
69	0.9679417003
70	0.9663091632
71	0.9640177729
72	0.9616463615
73	0.9599754951
74	0.958363044
75	0.9574186989
76	0.9549846339
77	0.9538790169
78	0.9522356613
79	0.9497750126
80	0.9487541242
81	0.9461106674
82	0.9441855526
83	0.9431500748
84	0.9400304617
85	0.9377163152
86	0.9356989599
87	0.9341468715
88	0.9316614593
89	0.9293912534
90	0.9280528071
91	0.9264665069
92	0.9246641471
93	0.9230086993
94	0.9215639041
95	0.9192805762
96	0.9178965751
97	0.9165145077
98	0.9145326125
99	0.9125434739
100	0.9114024456
101	0.9094181988
102	0.9076362449
103	0.906706495
104	0.905367302
105	0.9040105168
106	0.9026638909
107	0.9011682414
108	0.8992466029
109	0.8965398912
110	0.8948716776
111	0.893070186
112	0.8899461105
113	0.887287978
114	0.8859031314
115	0.8842440863
116	0.8832592519
117	0.8811965033
118	0.8792741982
119	0.8778961177
120	0.876585313
121	0.8758413578
122	0.8743984699
123	0.8726372342
124	0.8711699108
125	0.8701233559
126	0.8682442178
127	0.8665242457
128	0.8652907843
129	0.8641238745
130	0.8621981516
131	0.86041619
132	0.8582665161
133	0.8571706993
134	0.8558687862
135	0.85424175
136	0.8521028398
137	0.850869709
138	0.8492906243
139	0.8479363999
140	0.8463853769
141	0.8453552217
142	0.8441419592
143	0.8429706233
144	0.8422989899
145	0.8397184706
146	0.8378763558
147	0.8361332364
148	0.8348497135
149	0.8330647659
