iter	Passed	Remaining
0	169	25319
1	177	13099
2	180	8836
3	185	6771
4	189	5498
5	191	4590
6	194	3983
7	199	3533
8	202	3175
9	206	2885
10	209	2647
11	215	2473
12	218	2303
13	221	2155
14	225	2030
15	228	1917
16	232	1822
17	236	1735
18	240	1655
19	243	1585
20	247	1519
21	250	1459
22	255	1408
23	258	1356
24	261	1308
25	265	1264
26	268	1222
27	271	1184
28	275	1147
29	278	1114
30	282	1082
31	285	1051
32	288	1023
33	291	996
34	295	969
35	298	945
36	301	921
37	304	898
38	308	877
39	311	855
40	315	837
41	318	818
42	321	800
43	324	781
44	327	764
45	330	748
46	334	732
47	337	717
48	341	703
49	344	688
50	348	676
51	351	662
52	354	649
53	358	636
54	361	624
55	364	612
56	368	600
57	371	588
58	374	577
59	377	566
60	380	555
61	383	544
62	386	534
63	389	523
64	393	514
65	396	504
66	399	495
67	402	485
68	405	476
69	409	467
70	412	458
71	415	449
72	418	441
73	421	432
74	424	424
75	427	416
76	430	408
77	433	400
78	436	392
79	439	384
80	442	377
81	445	369
82	448	362
83	452	355
84	455	348
85	459	341
86	462	334
87	466	328
88	469	322
89	473	315
90	476	309
91	479	302
92	482	295
93	485	289
94	488	282
95	491	276
96	494	270
97	497	264
98	500	258
99	503	251
100	507	245
101	510	240
102	514	234
103	517	228
104	520	223
105	524	217
106	527	211
107	530	206
108	533	200
109	536	195
110	540	189
111	543	184
112	546	178
113	549	173
114	553	168
115	556	163
116	560	158
117	563	152
118	566	147
119	569	142
120	573	137
121	576	132
122	579	127
123	582	122
124	585	117
125	589	112
126	592	107
127	595	102
128	598	97
129	602	92
130	605	87
131	609	83
132	612	78
133	615	73
134	618	68
135	622	64
136	625	59
137	628	54
138	631	49
139	634	45
140	638	40
141	641	36
142	644	31
143	647	26
144	651	22
145	654	17
146	657	13
147	660	8
148	664	4
149	667	0
